part,source,target,weight,seed,auprc,auroc
loco_weight,K562+MDA-MB-231,HAP1,control posrate x5,11,0.177,0.7242
loco_weight,K562+MDA-MB-231,HAP1,control posrate x5,12,0.175,0.7257
loco_weight,K562+MDA-MB-231,HAP1,control posrate x5,13,0.1741,0.7266
loco_weight,K562+MDA-MB-231,HAP1,control posrate x5,14,0.1781,0.7356
loco_weight,K562+MDA-MB-231,HAP1,control posrate x5,15,0.1726,0.7303
loco_weight,K562+MDA-MB-231,HAP1,control posrate x5,16,0.1807,0.7318
loco_weight,K562+MDA-MB-231,HAP1,control posrate x5,17,0.1819,0.729
loco_weight,K562+MDA-MB-231,HAP1,control posrate x5,18,0.1791,0.7353
loco_weight,K562+MDA-MB-231,HAP1,control posrate x5,19,0.172,0.7276
loco_weight,HAP1+MDA-MB-231,K562,equal,0,0.1601,0.6931
loco_weight,HAP1+MDA-MB-231,K562,equal,1,0.1627,0.6919
loco_weight,HAP1+MDA-MB-231,K562,equal,2,0.1611,0.6945
loco_weight,HAP1+MDA-MB-231,K562,equal,3,0.1626,0.6931
loco_weight,HAP1+MDA-MB-231,K562,equal,4,0.1642,0.6973
loco_weight,HAP1+MDA-MB-231,K562,equal,5,0.1666,0.6959
loco_weight,HAP1+MDA-MB-231,K562,equal,6,0.1634,0.6962
loco_weight,HAP1+MDA-MB-231,K562,equal,7,0.1657,0.6924
loco_weight,HAP1+MDA-MB-231,K562,equal,8,0.1622,0.6917
loco_weight,HAP1+MDA-MB-231,K562,equal,9,0.1649,0.6961
loco_weight,HAP1+MDA-MB-231,K562,equal,10,0.1598,0.694
loco_weight,HAP1+MDA-MB-231,K562,equal,11,0.1657,0.6969
loco_weight,HAP1+MDA-MB-231,K562,equal,12,0.1625,0.6971
loco_weight,HAP1+MDA-MB-231,K562,equal,13,0.1635,0.6938
loco_weight,HAP1+MDA-MB-231,K562,equal,14,0.1614,0.6954
loco_weight,HAP1+MDA-MB-231,K562,equal,15,0.1641,0.6963
loco_weight,HAP1+MDA-MB-231,K562,equal,16,0.1621,0.6929
loco_weight,HAP1+MDA-MB-231,K562,equal,17,0.1603,0.6938
loco_weight,HAP1+MDA-MB-231,K562,equal,18,0.1591,0.6907
loco_weight,HAP1+MDA-MB-231,K562,equal,19,0.158,0.6911
loco_weight,HAP1+MDA-MB-231,K562,upweight MDA-MB-231 x2,0,0.1557,0.6891
loco_weight,HAP1+MDA-MB-231,K562,upweight MDA-MB-231 x2,1,0.1599,0.6943
loco_weight,HAP1+MDA-MB-231,K562,upweight MDA-MB-231 x2,2,0.1601,0.6949
loco_weight,HAP1+MDA-MB-231,K562,upweight MDA-MB-231 x2,3,0.1635,0.6981
loco_weight,HAP1+MDA-MB-231,K562,upweight MDA-MB-231 x2,4,0.162,0.6965
loco_weight,HAP1+MDA-MB-231,K562,upweight MDA-MB-231 x2,5,0.1603,0.6949
loco_weight,HAP1+MDA-MB-231,K562,upweight MDA-MB-231 x2,6,0.1593,0.692
